2017-04-18 05:14:37,960 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_groups'; args=[u'blog_user_groups']
2017-04-18 05:14:37,960 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `blog_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL); (params None)
2017-04-18 05:14:38,190 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.229) CREATE TABLE `blog_user_user_permissions` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `user_id` integer NOT NULL, `permission_id` integer NOT NULL); args=None
2017-04-18 05:14:38,191 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_user_permissions'; args=[u'blog_user_user_permissions']
2017-04-18 05:14:38,193 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_user_permissions'; args=[u'blog_user_user_permissions']
2017-04-18 05:14:38,194 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_user_user_permissions'; args=[u'blog_user_user_permissions']
2017-04-18 05:14:38,199 [MainThread:140694508766976] [django.db.backends.schema:110] [schema:execute] [DEBUG]- CREATE TABLE `blog_ad` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `image_url` varchar(100) NOT NULL, `callback_url` varchar(200) NULL, `date_publish` datetime(6) NOT NULL, `index` integer NOT NULL); (params None)
2017-04-18 05:14:38,448 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.248) CREATE TABLE `blog_ad` (`id` integer AUTO_INCREMENT NOT NULL PRIMARY KEY, `title` varchar(50) NOT NULL, `description` varchar(200) NOT NULL, `image_url` varchar(100) NOT NULL, `callback_url` varchar(200) NULL, `date_publish` datetime(6) NOT NULL, `index` integer NOT NULL); args=None
2017-04-18 05:14:38,449 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,450 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
2017-04-18 05:14:38,452 [MainThread:140694508766976] [django.db.backends:91] [utils:execute] [DEBUG]- (0.001) SELECT engine FROM information_schema.tables WHERE table_name = 'blog_ad'; args=[u'blog_ad']
